cluster,topic,id,questionText,questionLatex,hint,answer,answerLatex,solutionText,solutionLatex
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=x\ln3,Remember that ln3 is just a constant,Increasing on,"\left(-\infty,\ \infty\right)",The derivative is a positive constant.,"f'(x) = \ln3 \approx 1.099 > 0 \text{ for all } x. \quad \text{Increasing on } (-\infty, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=x^2-2x+7,Find critical points by setting f'(x) = 0,"Decreasing on (1), increasing on (2) ","\left(1\right)\ \left(-\infty,\ 1\right),\ \ \left(2\right)\ \left(1,\ \infty\right)","Find where the derivative equals zero, then test intervals.","f'(x) = 2x - 2 = 0 \Rightarrow x = 1. \quad f'(x) < 0 \text{ for } x < 1, \quad f'(x) > 0 \text{ for } x > 1"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=x^3-3x,Set f'(x) = 0 to find critical points,"Increasing on (1), decreasing on (2)","\left(1\right)\ \left(-\infty,\ -1\right)\ \cup\ \left(1,\ \infty\right),\ \ \left(2\right)\ \left(-\ 1,\ 1\right)",Find critical points and test sign of derivative in each interval.,f'(x) = 3x^2 - 3 = 0 \Rightarrow x = \pm 1. \quad f'(x) > 0 \text{ for } x < -1 \text{ or } x > 1. \quad f'(x) < 0 \text{ for } -1 < x < 1
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=2x^3+3x^2-12x+5,Factor f'(x) to find critical points,"Increasing on (1), decreasing on (2)","\left(1\right)\ \left(-\infty,\ -2\right)\ \cup\ \left(1,\ \infty\right),\ \ \left(2\right)\ \left(-\ 2,\ 1\right)",Factor the derivative to find critical points.,"f'(x) = 6x^2 + 6x - 12 = 6(x+2)(x-1) = 0 \Rightarrow x = -2, 1. \quad f'(x) > 0 \text{ for } x < -2 \text{ or } x > 1. \quad f'(x) < 0 \text{ for } -2 < x < 1"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=x^{\frac{1}{3}},Rewrite as x^{1/3} and find the derivative,Increasing on,"\left(-\infty,\ \infty\right)","The derivative is positive except at x = 0 where it's undefined, but the function is still increasing.","f'(x) = \frac{1}{3}x^{-2/3} = \frac{1}{3x^{2/3}} > 0 \text{ for all } x \neq 0. \quad \text{Increasing on } (-\infty, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=e^{2-x},Use the chain rule to find f'(x),Decreasing on,"\left(-\infty,\ \infty\right)",The derivative is always negative.,"f'(x) = e^{2-x} \cdot (-1) = -e^{2-x} < 0 \text{ for all } x. \quad \text{Decreasing on } (-\infty, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=\frac{2}{x+1},Rewrite as 2(x+1)^{-1} and use the power rule,Decreasing on,"\left(-\infty,\ -1\right)\cup\left(-1,\ \infty\right)",The derivative is always negative where defined.,"f'(x) = -2(x+1)^{-2} = -\frac{2}{(x+1)^2} < 0 \text{ for } x \neq -1. \quad \text{Decreasing on } (-\infty, -1) \cup (-1, \infty)"
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=\ln\left(x^2+8\right),Use the chain rule to differentiate ln(x^2+8),"Decreasing on (1), increasing on (2)","\left(1\right)\ \left(-\infty,\ 0\right),\ \left(2\right)\ \left(0,\ \infty\right)",Find where the derivative equals zero and test intervals.,f'(x) = \frac{2x}{x^2+8} = 0 \Rightarrow x = 0. \quad f'(x) < 0 \text{ for } x < 0. \quad f'(x) > 0 \text{ for } x > 0
Applications of the Derivative,Intervals of increasing and decreasing,,Find the intervals where each function f is increasing and the intervals where it is decreasing.,f(x)=\frac{1}{\left(x-2\right)^2},Rewrite as (x-2)^{-2} and use the power rule,"Increasing on (1), decreasing on (2)","\left(1\right)\ \left(-\infty,\ 2\right),\ \left(2\right)\ \left(2,\ \infty\right)",The sign of the derivative depends on the sign of (x-2)^3 in the denominator.,f'(x) = -2(x-2)^{-3} = -\frac{2}{(x-2)^3}. \quad f'(x) > 0 \text{ for } x < 2. \quad f'(x) < 0 \text{ for } x > 2
Concepts of Economics,Marginal Cost,,"The total cost of producing x units of a certain commodity is estimated to be given by the function C(x) = −0.2x^2+ 16x + 21, where 0 ≤ x ≤ 40. Find the marginal cost when the level of production is at 10 and at 20 units. Does marginal cost increase or decrease withincreasing production?",,,,,,
Concepts of Economics,Marginal Cost,,"The cost of manufacturing x units of a certain commodity is given by C(x) = sqrt(5x + 1)+4 dollars, where 0 ≤ x ≤ 10. Find the marginal cost when the level of production is at 7 andat 16 units. Does marginal cost increase or decrease with increasing production?",,,,,,
Concepts of Economics,Marginal Cost,,"Management of a company manufacturing small refrigerators determines that the dailytotal cost of producing x units is given by C(x) = 0.0002x^3− 0.06x^2+ 120x + 3000 dollars, where 0 ≤ x ≤ 300. (a) Find the marginal cost function C'(x).(b) Find the intervals on which the function C'(x) is increasing and those on which it isdecreasing. Interpret your results.",,,,,,
Concepts of Economics,Marginal Cost,,Let the proﬁt (in dollars) realizable by a company for the manufacture and sale of x units of a product per month be P (x) = −0.002x^2+ 10x − 4000. Find the marginal proﬁtwhen the level of sales is at 500 and at 1000 units.,,,,,,
Concepts of Economics,Marginal Cost,,"The marketing department of a company has determined that the demand for the product the company produces is p = −0.02x + 400 (0 ≤ x ≤ 20000), where p is the unit price in dollars and x is the number of units of the quantity demanded. (a) Find the revenue function R. (b) Find the marginal revenue function R'(x). (c) Compute R'(10, 000) and interpret your result",,,,,,
Concepts of Economics,Elasticity of Demand,,"Compute the elasticity of demand and determine whether the demand iselastic, inelastic, or unitary, at the given unit price p0. If the unit price is increased slightly from p0, will the revenue increase or decrease?",x=-(4/3)p+24; p0=6,Use the elasticity of demand formula and remember the rules.,,,,
Concepts of Economics,Elasticity of Demand,,"Compute the elasticity of demand and determine whether the demand iselastic, inelastic, or unitary, at the given unit price p0. If the unit price is increased slightly from p0, will the revenue increase or decrease?",x+(1/4)p-10=0; p0=20,Use the elasticity of demand formula and remember the rules.,,,,
Concepts of Economics,Elasticity of Demand,,"Compute the elasticity of demand and determine whether the demand iselastic, inelastic, or unitary, at the given unit price p0. If the unit price is increased slightly from p0, will the revenue increase or decrease?",x=sqrt(121-p); p0=88,Use the elasticity of demand formula and remember the rules.,,,,
Concepts of Economics,Elasticity of Demand,,"An art gallery oﬀers prints by a famous artist. If each print is priced at p dollars, it isexpected that x = sqrt(7500 − 0.03p^2) prints will be sold. a) Find elasticity of demand. Determine values of p for which the demand is elastic, inelastic, and and of unit elasticity. b) If you were the owner of the gallery, what price would you charge for each print?",,,,,,
Concepts of Economics,Related Rates,,"Two quantities, x(t) and y(t), vary with time. For all t, they are related by x^3+ y = 1.Given that, at t = 0, x(0) = −1 and dy/dt= 3, ﬁnd dx/dt at t = 0.",,,,,,
Concepts of Economics,Related Rates,,"Suppose that x(t) and y(t) are related by xy = y^4− x for all t, and at t = 1, x(1) =0.5, y(1) = 1 and dx/dt= 7. Find dy/dt at t = 1.",,,,,,
Concepts of Economics,Related Rates,,"Suppose that the quantity demanded monthly of a company producing tires is relatedto the tire’s unit price by the equation 2p + 3x^2= 247, where p is measured in dollars and x in units of a thousand. At what rate is the quantity demanded changing when x = 7, and the unit price is increasing at the rate of $6 per month?",,,,,,
Concepts of Economics,Related Rates,,"Let the unit price p of a carton of juice be related to the weekly supply x (in thousands of boxes) by the equation 576p^2−x^2= 92. If 22,000 boxes are available at the beginning of a week and the supply is falling at the rate of 800 boxes per week, at what rate is the price changing?",,,,,,
Concepts of Economics,Related Rates,,"The demand function for a certain product isp = −0.02x^2− 0.1x + 10, where p is the unit price in dollars, and x is the quantity demanded per week, measured in units of a thousand. Find the elasticity of demand and determine whether the demand elastic, inelastic, or unitary, when x = 10",,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=x^2-2x-6,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=-2x^2+x-1,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(t) = t^3-3t,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=2x^3+x,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=2x^3+3x^2-12x,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=3x^(1/3),,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=e^(x-5),,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=e^(x^2+1),,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=3/(x-2),,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=x/(x^2+1),,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",3^(2x+1),,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",ln(x^2+3),,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = x^2− 2x − 6 on [−2, 5]",,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = −x^2+ x − 1 on [−4, 1]",,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = 2x^3+ 3x^2− 12^x + 5 on [−3, 4]",,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = x^2/3 on [−1, 8]",,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(t) =t/(t^2+ 2) on [−1, 2]",,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = 9x + 1/x on [1, 4]",,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"The monthly profit of a company manufacturing and selling toaster ovens is estimated by P(x) = -0.03x^2+180x-8000 dollars, where x>=0 is the number of ovens. To maximize its profit, how many ovens should the company sell per month.",,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,The quantity demanded per month is related to the unit price of a product by the equation p = 40/(0.02x^2+1) (0<=x<=15) where p is measured in dollars and x is measured in units of a thousand. How many items must be sold to yield a maximum revenue?,,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"A travel company determines that if x thousand dollars are spent on advertising a vacation resort, then N(x) people will go for a vacation there, where N(x) = -2x^3+21x^2+180x+100 (0 <= x <= 16). How much money should be spent on advertising to maximize the number of people attending the resort?",,,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,f(x)=x^2-2x-6,,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,f(x)=-2x^2+x-1,,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,f(t) = t^3-3t,,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,x^4-2x^3+1,,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,4+x^(5/3),,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,9x^(8/3),,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,3/(x-1),,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,-1/(x-3)^2,,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,e^(2x-1),,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,e^(x^3),,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,2ln(x+1),,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,ln(x^2+3),,,,,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,x^2-2x-6,,,,,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,2x^3-3x^2,,,,,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,x^4-2x^3+1,,,,,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,x+4/x,,,,,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,2/(1+x^2),,,,,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,(x-2)^4,,,,,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,e^(4-x^2),,,,,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,ln(x^2+3),,,,,
