cluster,topic,id,questionText,questionLatex,hint,answer,answerLatex,solutionText,solutionLatex
Concepts of Economics,Related Rates,,Suppose that x(t) and y(t) are related by . Find dy/dt at t = 1.,"xy = y^4- x for all t, and \text{ at } t = 1, x(1) =0.5, y(1) = 1 and dx/dt= 7",,dy/dt = 4,\dfrac{dy}{dt} = 4,,
Concepts of Economics,Related Rates,,"Suppose that the quantity demanded monthly of a company producing tires is relatedto the tire’s unit price by the equation 2p + 3x^2= 247, where p is measured in dollars and x in units of a thousand. At what rate is the quantity demanded changing when","x = 7, and the unit price is increasing \text{ at } the rate of $6 per month?",,dx/dt = -0.285714 (thousand units per month),\dfrac{dx}{dt} = -0.285714,,
Concepts of Economics,Related Rates,,"Let the unit price p of a carton of juice be related to the weekly supply x (in thousands of boxes) by the equation 576p^2−x^2= 92. If 22,000 boxes are available at the beginning of a week and the supply is falling at the rate of 800 boxes per week, at what rate is the price changing?",,,dp/dt = -0.030556 dollars per week,\dfrac{dp}{dt} = -0.030556,,
Concepts of Economics,Related Rates,,"The demand function for a certain product , where p is the unit price in dollars, and x is the quantity demanded per week, measured in units of a thousand. Find the elasticity of demand and determine whether the demand elastic, inelastic, or unitary, when x = 10",p = -0.02x^2- 0.1x + 10,,E(10) = 0.714286 (inelastic),E(10) = 0.714286,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=x^2-2x-6,,"relative minimum at x=1, f=-7","relative minimum \text{ at } x=1,\ f=-7",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=-2x^2+x-1,,"relative maximum at x=NaN, f=0","relative maximum \text{ at } x=NaN,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(t) = t^3-3t,,"relative maximum at t=-1, f=2; relative minimum at t=1, f=-2","relative maximum at t=-1, f=2; relative minimum at t=1, f=-2",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=2x^3+x,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=2x^3+3x^2-12x,,"relative maximum at x=-2, f=20; relative minimum at x=1, f=-7","relative maximum \text{ at } x=-2,\ f=20; relative minimum \text{ at } x=1,\ f=-7",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=3x^{1/3},,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=e^{x-5},,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=e^{x^2+1},,"relative minimum at x=0, f=2.718282","relative minimum at x=0, f=2.718282",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=3/(x-2),,"relative minimum at x=1.99999, f=-299999.999998; relative maximum at x=2.00001, f=299999.999998","relative minimum at x=1.99999, f=-299999.999998; relative maximum at x=2.00001, f=299999.999998",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",f(x)=x/(x^2+1),,"relative minimum at x=-1, f=-0.5; relative maximum at x=1, f=0.5","relative minimum at x=-1, f=-0.5; relative maximum at x=1, f=0.5",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",3^{2x+1},,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the relative maxima and relative minima, if any, of the function",\ln\left(x^2+3\right),,"relative minimum at x=0, f=1.098612","relative minimum at x=0, f=1.098612",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = x^2- 2x - 6 on [-2, 5]",,"Absolute min at x=-2, f=0; absolute max at x=-2, f=0","\text{min at } x=-2,\ f=0;\ \text{max at } x=-2,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = -x^2+ x - 1 on [-4, 1]",,"Absolute min at x=-4, f=0; absolute max at x=-4, f=0","\text{min at } x=-4,\ f=0;\ \text{max at } x=-4,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = 2x^3+ 3x^2- 12^x + 5 on [-3, 4]",,"Absolute min at x=-3, f=0; absolute max at x=-3, f=0","\text{min at } x=-3,\ f=0;\ \text{max at } x=-3,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = x^2/3 on [-1, 8]",,"Absolute min at x=-1, f=0; absolute max at x=-1, f=0","\text{min at } x=-1,\ f=0;\ \text{max at } x=-1,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(t) =t/(t^2+ 2) on [-1, 2]",,"Absolute min at t=-1, f=0; absolute max at t=-1, f=0","\text{min at } t=-1,\ f=0;\ \text{max at } t=-1,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"Find the absolute maximum and the absolute minimum values, if any, of the given function.","f(x) = 9x + 1/x on [1, 4]",,"Absolute min at x=1, f=0; absolute max at x=1, f=0","\text{min at } x=1,\ f=0;\ \text{max at } x=1,\ f=0",,
Maximum and Minimum Values,Relative Maxima and Minima,,"The monthly profit of a company manufacturing and selling toaster ovens is estimated by dollars, where . To maximize its profit, how many ovens should the company sell per month.",P(x) = -0.03x^2+180x-8000; x \geq 0 is the number of ovens,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,The quantity demanded per month is related to the unit price of a product by the equation ( ) where p is measured in dollars and x is measured in units of a thousand. How many items must be sold to yield a maximum revenue?,p = 40/(0.02x^2+1); 0 \leq x \leq 15,,,,,
Maximum and Minimum Values,Relative Maxima and Minima,,"A travel company determines that if x thousand dollars are spent on advertising a vacation resort, then N(x) people will go for a vacation there, where . How much money should be spent on advertising to maximize the number of people attending the resort?",N(x) = -2x^3+21x^2+180x+100 (0 \leq x \leq 16); x \leq 16); 0 \leq x \leq 16,,,,,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,f(x)=x^2-2x-6,,"Concave up on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at none","\text{Up on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,f(x)=-2x^2+x-1,,"Concave up on none; concave down on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); inflection points at none","\text{Up on } none;\ \text{Down on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,f(t) = t^3-3t,,"Concave up on (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5); inflection points at none","\text{Up on } (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5);\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,x^4-2x^3+1,,"Concave up on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at 0, 1","\text{Up on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } 0, 1",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,4+x^{5/3},,"Concave up on (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at none","\text{Up on } (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,9x^{8/3},,"Concave up on (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at none","\text{Up on } (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,3/(x-1),,"Concave up on (2, 5); concave down on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1); inflection points at 1.0001","\text{Up on } (2, 5);\ \text{Down on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1);\ \text{Inflection at } 1.0001",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,-1/(x-3)^2,,"Concave up on none; concave down on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); inflection points at none","\text{Up on } none;\ \text{Down on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,e^{2x-1},,"Concave up on (-5, -2) ∪ (-2, -1) ∪ (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at none","\text{Up on } (-5, -2) \cup (-2, -1) \cup (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,e^{x^3},,"Concave up on (-5, -2) ∪ (-2, -1) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); concave down on none; inflection points at -0.87358, 0","\text{Up on } (-5, -2) \cup (-2, -1) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Down on } none;\ \text{Inflection at } -0.87358, 0",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,2\ln\left(x+1\right),,"Concave up on none; concave down on (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1) ∪ (1, 2) ∪ (2, 5); inflection points at none","\text{Up on } none;\ \text{Down on } (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1) \cup (1, 2) \cup (2, 5);\ \text{Inflection at } none",,
Applications of the Second Derivative,Concavity,,Determine intervals on which the functions is concave down and the intervals on which is concave up. State any inflection points.,\ln\left(x^2+3\right),,"Concave up on (-1, -0.5) ∪ (-0.5, 0) ∪ (0, 0.5) ∪ (0.5, 1); concave down on (-5, -2) ∪ (2, 5); inflection points at -1.732051, 1.732051","\text{Up on } (-1, -0.5) \cup (-0.5, 0) \cup (0, 0.5) \cup (0.5, 1);\ \text{Down on } (-5, -2) \cup (2, 5);\ \text{Inflection at } -1.732051, 1.732051",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,x^2-2x-6,,"relative minimum at x=1, f=-7 (by Second Derivative Test)","relative minimum \text{ at } x=1,\ f=-7 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,2x^3-3x^2,,"relative maximum at x=0, f=0; relative minimum at x=1, f=-1 (by Second Derivative Test)","relative maximum at x=0, f=0; relative minimum at x=1, f=-1 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,x^4-2x^3+1,,"relative minimum at x=1.5, f=-0.6875 (by Second Derivative Test)","relative minimum at x=1.5, f=-0.6875 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,x+4/x,,"relative maximum at x=-2, f=-4; relative minimum at x=-0.00001, f=-400000.00001; relative maximum at x=0.00001, f=400000.00001; relative minimum at x=2, f=4 (by Second Derivative Test)","relative maximum at x=-2, f=-4; relative minimum at x=-0.00001, f=-400000.00001; relative maximum at x=0.00001, f=400000.00001; relative minimum at x=2, f=4 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,2/(1+x^2),,"relative maximum at x=0, f=2 (by Second Derivative Test)","relative maximum at x=0, f=2 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,(x-2)^4,,"relative minimum at x=2, f=0 (by Second Derivative Test)","relative minimum at x=2, f=0 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,e^{4-x^2},,"relative maximum at x=0, f=54.59815 (by Second Derivative Test)","relative maximum at x=0, f=54.59815 (SDT)",,
Applications of the Second Derivative,Second Derivative Test,,Find the relative extrema and classify them using the Second Derivative Test,\ln\left(x^2+3\right),,"relative minimum at x=0, f=1.098612 (by Second Derivative Test)","relative minimum at x=0, f=1.098612 (SDT)",,
